act3_family,subtype,gene,rank_in_subtype,n_leaves_in_family,n_leaves_sharing,scope
uterine,endometrium adenocarcinoma,STAT3,38,4,3,partial
uterine,endometrium adenocarcinoma,PTPN11,39,4,4,common
uterine,endometrium adenocarcinoma,CDKN2A,40,4,2,partial
uterine,endometrium adenocarcinoma,FGFR3,41,4,2,partial
uterine,endometrium adenocarcinoma,AXIN1,42,4,1,specific
uterine,endometrium adenocarcinoma,MAPK3,43,4,2,partial
uterine,endometrium adenocarcinoma,ARID1B,44,4,1,specific
uterine,endometrium adenocarcinoma,SMARCB1,45,4,2,partial
uterine,endometrium adenocarcinoma,CHEK2,46,4,3,partial
uterine,endometrium adenocarcinoma,ARID2,47,4,1,specific
uterine,endometrium adenocarcinoma,AKT1,48,4,4,common
uterine,endometrium adenocarcinoma,TCF7L2,49,4,1,specific
uterine,endometrium adenocarcinoma,SMARCD3,50,4,2,partial
uterine,uterine carcinosarcoma,TP53,1,4,4,common
uterine,uterine carcinosarcoma,EP300,2,4,4,common
uterine,uterine carcinosarcoma,PIK3CA,3,4,4,common
uterine,uterine carcinosarcoma,CTNNB1,4,4,4,common
uterine,uterine carcinosarcoma,CREBBP,5,4,4,common
uterine,uterine carcinosarcoma,PIK3R1,6,4,4,common
uterine,uterine carcinosarcoma,KRAS,7,4,4,common
uterine,uterine carcinosarcoma,HRAS,8,4,4,common
uterine,uterine carcinosarcoma,JAK2,9,4,4,common
uterine,uterine carcinosarcoma,PTPN11,10,4,4,common
uterine,uterine carcinosarcoma,BRCA1,11,4,2,partial
uterine,uterine carcinosarcoma,EGFR,12,4,4,common
uterine,uterine carcinosarcoma,SMAD3,13,4,4,common
uterine,uterine carcinosarcoma,ERBB2,14,4,4,common
uterine,uterine carcinosarcoma,STAT3,15,4,3,partial
uterine,uterine carcinosarcoma,SRC,16,4,1,specific
uterine,uterine carcinosarcoma,MAPK1,17,4,4,common
uterine,uterine carcinosarcoma,ERBB3,18,4,4,common
uterine,uterine carcinosarcoma,NRAS,19,4,3,partial
uterine,uterine carcinosarcoma,RUNX1,20,4,2,partial
uterine,uterine carcinosarcoma,ERBB4,21,4,4,common
uterine,uterine carcinosarcoma,FGFR1,22,4,4,common
uterine,uterine carcinosarcoma,AKT1,23,4,4,common
uterine,uterine carcinosarcoma,JAK1,24,4,1,specific
uterine,uterine carcinosarcoma,BRAF,25,4,4,common
uterine,uterine carcinosarcoma,ATM,26,4,4,common
uterine,uterine carcinosarcoma,NTRK1,27,4,3,partial
uterine,uterine carcinosarcoma,MAPK3,28,4,2,partial
uterine,uterine carcinosarcoma,ESR1,29,4,1,specific
uterine,uterine carcinosarcoma,PDGFRB,30,4,3,partial
uterine,uterine carcinosarcoma,CBL,31,4,2,partial
uterine,uterine carcinosarcoma,MET,32,4,3,partial
uterine,uterine carcinosarcoma,SOS1,33,4,4,common
uterine,uterine carcinosarcoma,ABL1,34,4,1,specific
uterine,uterine carcinosarcoma,KDR,35,4,4,common
uterine,uterine carcinosarcoma,YAP1,36,4,2,partial
uterine,uterine carcinosarcoma,CCND1,37,4,2,partial
uterine,uterine carcinosarcoma,SMAD4,38,4,2,partial
uterine,uterine carcinosarcoma,KIT,39,4,4,common
uterine,uterine carcinosarcoma,CDK4,40,4,1,specific
uterine,uterine carcinosarcoma,MSH2,41,4,3,partial
uterine,uterine carcinosarcoma,LEF1,42,4,2,partial
uterine,uterine carcinosarcoma,SYK,43,4,1,specific
uterine,uterine carcinosarcoma,RAF1,44,4,2,partial
uterine,uterine carcinosarcoma,FGFR2,45,4,4,common
uterine,uterine carcinosarcoma,SMARCA4,46,4,3,partial
uterine,uterine carcinosarcoma,BLM,47,4,2,partial
uterine,uterine carcinosarcoma,IRS2,48,4,2,partial
uterine,uterine carcinosarcoma,APC,49,4,1,specific
uterine,uterine carcinosarcoma,SMAD2,50,4,2,partial
