arm,block,block_rank,rank_in_subtype,gene,model_score,target_class,druggability,small_molecule_tractable,antibody_tractable,some_drug_already_hits_this_gene,documented_safety_liability,liability_detail,why_the_model_ranked_it,REVIEW_plausible_1to5,REVIEW_already_known_to_you,REVIEW_worth_pursuing,REVIEW_comment
Luminal A (HR+/HER2-),B. NOVEL candidate - please assess,13,18,SMAD3,0.9373,Transcription factor,Transcription factor,True,True,False,False,,"ppi_multi_source_frac (+1.11), ppi_adamic_adar (+0.90)",,,,
Luminal A (HR+/HER2-),B. NOVEL candidate - please assess,14,20,NOTCH1,0.9349,Membrane receptor,membrane / cell-surface,True,True,False,False,,"dwpc_GBGD (+0.74), ppi_adamic_adar (+0.72)",,,,
Luminal A (HR+/HER2-),B. NOVEL candidate - please assess,15,21,BARD1,0.9348,,intracellular,True,False,False,False,,"ppi_adamic_adar (+0.92), dwpc_GBGD (+0.84)",,,,
Luminal A (HR+/HER2-),B. NOVEL candidate - please assess,16,24,YAP1,0.9319,Unclassified protein,Unclassified protein,True,True,False,False,,"ppi_multi_source_frac (+1.36), ppi_evidence_depth (-0.75)",,,,
Luminal A (HR+/HER2-),B. NOVEL candidate - please assess,17,25,AR,0.9297,Transcription factor,Transcription factor,True,True,True,True,"Decrease, Population growth rate|Impaired recruitment , Population trajectory|Increase, Leydig cell tumors|Increase, hep","ppi_adamic_adar (+0.89), ppi_multi_source_frac (+0.81)",,,,
Luminal A (HR+/HER2-),B. NOVEL candidate - please assess,18,26,HRAS,0.9296,Other cytosolic protein,Other cytosolic protein,True,True,False,False,,"ppi_multi_source_frac (+1.19), ppi_adamic_adar (+0.97)",,,,
Luminal A (HR+/HER2-),B. NOVEL candidate - please assess,19,28,THRA,0.9271,Transcription factor,Transcription factor,True,False,True,True,receptor binding|regulation of transcription factor activity,"ppi_adamic_adar (+0.93), dwpc_GPGD (+0.47)",,,,
Luminal A (HR+/HER2-),B. NOVEL candidate - please assess,20,29,KRAS,0.9224,Enzyme,Enzyme,True,True,True,False,,"ppi_adamic_adar (+0.74), gene_ppi_degree (+0.64)",,,,
HER2-positive,A. known target - sanity anchor,1,1,EP300,0.9969,Epigenetic regulator,Epigenetic regulator,True,False,False,False,,"dwpc_GBGD (+1.42), ppi_adamic_adar (+1.13)",,,,
HER2-positive,A. known target - sanity anchor,2,2,TP53,0.9964,Transcription factor,Transcription factor,True,False,False,True,"Tumorigenesis, Hepatocellular carcinoma|drug toxicity|neutropenia|regulation of transcription factor activity","ppi_adamic_adar (+1.34), dwpc_GBGD (+1.26)",,,,
