recipe	type	gate	class	auto_hint	source	inputs	outputs
join_dashboard_annotations	join	-	-		DSS-only	disease_pool_sizes,drug_evidence_pairs,target_candidates_2	candidates_annotated
join_disease_family_id	join	-	-		DSS-only	disease_family_id,enriched_graph_features_1	enriched_graph_features_1_family
join_disease_name	join	-	-		DSS-only	graph_nodes,top_annotated	target_candidates_2
join_family_gene_name	join	-	-		DSS-only	family_top_genes,graph_nodes	family_top_genes_named
join_trust_for_personas	join	-	-		DSS-only	disease_pool_sizes,persona_candidates	dashboard_persona_trust
rank_per_disease	window	-	-		DSS-only	persona2_scored_shap	top_candidates
run_nb6_assertions	python	-	-		dss_recipes/run_nb6_assertions.py	breast_panel_overlap,dashboard_candidates,drug_disease_edges,drug_protein_edges,drug_target_benchmark,enriched_gene_druggability_v2,lung_granularity_check,novel_discovery_eval,raw_ot_known_drug,safety_lift,scored_champion,tractability_axis,tractability_lift,validation_auc_by_disease	nb6_assertion_results
score_persona_candidates	prediction_scoring	-	-		DSS-only	hJLGoYn4,validation_set_personas_2	persona2_scored
score_psplit_validation_m4	prediction_scoring	-	-		DSS-only	79JOklWN,psplit_validation_set	scored_m4
score_psplit_validation_m5	prediction_scoring	-	-		DSS-only	psplit_validation_set,r2oXoTEw	scored_m5
score_psplit_validation_m6	prediction_scoring	-	-		DSS-only	DWtdaTje,psplit_validation_set	scored_m6
score_psplit_validation_m7	prediction_scoring	-	-		DSS-only	hJLGoYn4,psplit_validation_set	scored_m7
score_psplit_validation_m8	prediction_scoring	-	-		DSS-only	3RZ9a9kN,psplit_validation_set	scored_m8
score_psplit_validation_set	prediction_scoring	-	-		DSS-only	Lx5Mz2hY,psplit_validation_set	scored_m1
score_psplit_validation_set_1	prediction_scoring	-	-		DSS-only	6hEivCx0,psplit_validation_set	scored_m2
score_psplit_validation_set_2	prediction_scoring	-	-		DSS-only	cGPhBOGC,psplit_validation_set	scored_m3
split_by_disease_key	split	-	-		DSS-only	enriched_graph_features_candidate_psplit	psplit_test_set,psplit_train_set,psplit_validation_set
sync_scored_champion	sync	-	-		DSS-only	scored_m7	scored_champion
topn_family_genes	topn	-	-		DSS-only	family_gene_agg	family_top_genes
train_m1-f7	prediction_training	-	-		DSS-only	psplit_test_set,psplit_train_set	Lx5Mz2hY
train_m2-f10	prediction_training	-	-		DSS-only	psplit_test_set,psplit_train_set	6hEivCx0
train_m3-f12	prediction_training	-	-		DSS-only	psplit_test_set,psplit_train_set	cGPhBOGC
train_m4-f13	prediction_training	-	-		DSS-only	psplit_test_set,psplit_train_set	79JOklWN
train_m5-f13	prediction_training	-	-		DSS-only	psplit_test_set,psplit_train_set	r2oXoTEw
train_m6-f13-new-pc	prediction_training	-	-		DSS-only	psplit_test_set,psplit_train_set	DWtdaTje
train_m7-f14	prediction_training	-	-		DSS-only	psplit_train_set	hJLGoYn4
train_m8-f14-pm	prediction_training	-	-		DSS-only	psplit_test_set,psplit_train_set	3RZ9a9kN
verify_nb1_on_champion	python	-	-		dss_recipes/verify_nb1_on_champion.py	psplit_train_set,scored_champion	nb1_verify
verify_nb3_on_champion	python	-	-		dss_recipes/verify_nb3_on_champion.py	drug_target_benchmark,family_auc_by_family,scored_champion,validation_auc_by_disease	nb3_verify
window_family_rank	window	-	-		DSS-only	family_validation_scored	family_validation_ranked
