disease_family_id,anchor_name,disease,n_pos,auc_disease,auc_lo95,auc_hi95,auc_trustworthy,hits_at_20,hits_at_50
52236,lung cancer,small cell lung carcinoma,603,0.9363,0.9226,0.9499,1,18,48
52236,lung cancer,lung carcinoma,686,0.9345,0.9216,0.9474,1,20,50
52236,lung cancer,non-small cell lung carcinoma,621,0.9343,0.9207,0.9479,1,20,49
52236,lung cancer,pulmonary large cell neuroendocrine carcinoma,381,0.9264,0.9081,0.9446,1,16,42
52236,lung cancer,pulmonary blastoma,55,0.9215,0.8722,0.9708,1,8,12
52236,lung cancer,adenosquamous lung carcinoma,197,0.9122,0.8848,0.9395,1,18,34
52236,lung cancer,minimally invasive lung adenocarcinoma,153,0.9118,0.8807,0.9429,1,17,26
52236,lung cancer,lung large cell carcinoma,254,0.9018,0.8765,0.9271,1,13,28
52236,lung cancer,lung inflammatory myofibroblastic tumor,40,0.89,0.8234,0.9566,1,4,6
52236,lung cancer,acinar lung adenocarcinoma,73,0.8852,0.835,0.9354,1,8,13
52236,lung cancer,primary pulmonary diffuse large B-cell lymphoma,17,0.8846,0.7804,0.9887,0,4,7
52236,lung cancer,combined small cell lung carcinoma,61,0.8523,0.7918,0.9128,1,8,11
52236,lung cancer,pulmonary mucoepidermoid carcinoma,17,0.7944,0.6664,0.9223,0,1,1
52236,lung cancer,lung cancer,53,0.7797,0.7057,0.8537,1,6,10
