disease_index,disease,cls,maturity,delta,n_approved_drugs,n_trial_drugs,novel_linked_total_approved,novel_linked_total_investigational,lift_top50_approved,lift_top50_investigational,hits_top50_approved,hits_top50_investigational
47734,duodenal ulcer,other,0.7727272727272727,0.0,15.0,9.0,17.0,5.0,0.0,0.0,0.0,0.0
47774,hypotensive disorder,other,0.07246376811594203,-4.778125,2.0,42.0,5.0,64.0,0.0,4.778125,0.0,2.0
48841,overactive bladder,other,0.045454545454545456,-1.673968253968254,8.0,36.0,3.0,63.0,0.0,1.673968253968254,0.0,1.0
48843,diabetic neuropathy,metabolic,0.08433734939759036,0.0,3.0,45.0,7.0,76.0,0.0,0.0,0.0,0.0
49670,gastroesophageal reflux disease,other,0.21621621621621623,0.0,28.0,39.0,8.0,29.0,0.0,0.0,0.0,0.0
49673,Behcet disease,other,0.15789473684210525,-0.8825,2.0,15.0,9.0,48.0,0.0,0.8825,0.0,1.0
49721,breast cancer,oncology,0.08143939393939394,12.561824982018699,46.0,524.0,43.0,485.0,16.612093023255813,4.050268041237113,4.0,11.0
50002,Tourette syndrome,other,0.09836065573770492,26.61866666666667,3.0,26.0,6.0,55.0,31.826666666666668,5.207999999999999,2.0,3.0
51394,rheumatoid arthritis,other,0.06274509803921569,18.055711297071127,48.0,197.0,16.0,239.0,21.685,3.6292887029288714,2.0,5.0
52236,lung cancer,oncology,0.015267175572519083,-5.767441860465117,4.0,141.0,4.0,258.0,0.0,5.767441860465117,0.0,12.0
53272,plasma cell myeloma,oncology,0.17065868263473055,-0.12042814617771835,16.0,267.0,57.0,277.0,4.169824561403509,4.290252707581227,1.0,5.0
53819,malignant pancreatic neoplasm,oncology,0.011627906976744186,-4.057058823529412,6.0,238.0,4.0,340.0,0.0,4.057058823529412,0.0,15.0
