group,feature,mean_pct,null_rate
assoc_only,prox_closest,0.43201609397837026,0.018981117230527145
both,prox_closest,0.3684790749065501,0.0
drug_only,prox_closest,0.4880269100323373,0.01913171449595291
neither,prox_closest,0.5017584379113977,0.062362487180529766
assoc_only,dwpc_GGD,0.6640131236114671,0.20726789929189615
both,dwpc_GGD,0.8211204247996204,0.08379888268156424
drug_only,dwpc_GGD,0.5781124093801414,0.4326710816777042
neither,dwpc_GGD,0.49413082518338347,0.48196012523549425
assoc_only,dwpc_GPGD,0.6872036191656085,0.14540715971675847
both,dwpc_GPGD,0.8702608665137305,0.0446927374301676
drug_only,dwpc_GPGD,0.6775375430443297,0.3053715967623252
neither,dwpc_GPGD,0.49510531143796854,0.21097798439525983
assoc_only,dwpc_GBGD,0.6970294846830946,0.05748426435877262
both,dwpc_GBGD,0.9023104534309211,0.027932960893854747
drug_only,dwpc_GBGD,0.6212831983458589,0.06548933038999265
neither,dwpc_GBGD,0.4943769875398925,0.20949499193559318
assoc_only,dwpc_GFGD,0.6822273249500906,0.1058221872541306
both,dwpc_GFGD,0.8436855317920288,0.05027932960893855
drug_only,dwpc_GFGD,0.5800004965411703,0.15305371596762327
neither,dwpc_GFGD,0.4944289728509729,0.31086142322097376
assoc_only,ppi_adamic_adar,0.6727947786344642,0.20726789929189615
both,ppi_adamic_adar,0.8290089983932418,0.08379888268156424
drug_only,ppi_adamic_adar,0.6251414438973366,0.4326710816777042
neither,ppi_adamic_adar,0.4937402898121312,0.48196012523549425
assoc_only,ppi_jaccard,0.6766463610207425,0.20726789929189615
both,ppi_jaccard,0.8169501505410117,0.08379888268156424
drug_only,ppi_jaccard,0.6264467227146551,0.4326710816777042
neither,ppi_jaccard,0.49360703130891187,0.48196012523549425
assoc_only,ppi_common_neighbors_z,0.6775060537054297,0.20726789929189615
both,ppi_common_neighbors_z,0.8132164187013978,0.08379888268156424
drug_only,ppi_common_neighbors_z,0.5878236046758476,0.4326710816777042
neither,ppi_common_neighbors_z,0.4936430748321029,0.48196012523549425
assoc_only,shared_pathway_frac,0.5251634462015817,0.14540715971675847
both,shared_pathway_frac,0.5074774000408894,0.0446927374301676
drug_only,shared_pathway_frac,0.4243819116708574,0.3053715967623252
neither,shared_pathway_frac,0.49956739162761843,0.21097798439525983
assoc_only,gene_ppi_degree,0.5967115566940707,0.0
both,gene_ppi_degree,0.7382071938168906,0.0
drug_only,gene_ppi_degree,0.5554673548504138,0.0
neither,gene_ppi_degree,0.4977187606566894,0.0
assoc_only,proba_1,0.7932179213916396,0.0
both,proba_1,0.9315136455480605,0.0
drug_only,proba_1,0.6340839334797983,0.0
neither,proba_1,0.4930454761867638,0.0
